,X,Sample.date,sampling.week,treatment,Heated,Invasion,Mesocosm,Sample,TimeAfterInv,Sample.number,rep,sampling.occasion
E-wk14-m8,E-wk14-m8,25/08/20,14,HI,Y,Y,8,E-wk14-m8,0,2,4,3
E-wk14-m9,E-wk14-m9,25/08/20,14,I,N,Y,9,E-wk14-m9,0,2,2,3
E-wk18-m10,E-wk18-m10,22/09/20,18,HI,Y,Y,10,E-wk18-m10,0,3,5,4
E-wk18-m11,E-wk18-m11,22/09/20,18,HI,Y,Y,11,E-wk18-m11,0,3,6,4
E-wk18-m12,E-wk18-m12,22/09/20,18,I,N,Y,12,E-wk18-m12,0,3,3,4
E-wk18-m13,E-wk18-m13,22/09/20,18,C,N,N,13,E-wk18-m13,0,3,3,4
E-wk18-m14,E-wk18-m14,22/09/20,18,I,N,Y,14,E-wk18-m14,0,3,4,4
E-wk18-m15,E-wk18-m15,22/09/20,18,H,Y,N,15,E-wk18-m15,0,3,1,4
E-wk18-m16,E-wk18-m16,22/09/20,18,H,Y,N,16,E-wk18-m16,0,3,2,4
E-wk18-m17,E-wk18-m17,22/09/20,18,C,N,N,17,E-wk18-m17,0,3,4,4
E-wk18-m19,E-wk18-m19,22/09/20,18,I,N,Y,19,E-wk18-m19,0,3,5,4
E-wk18-m2,E-wk18-m2,22/09/20,18,C,N,N,2,E-wk18-m2,0,3,1,4
E-wk18-m20,E-wk18-m20,22/09/20,18,H,Y,N,20,E-wk18-m20,0,3,3,4
E-wk18-m21,E-wk18-m21,22/09/20,18,C,N,N,21,E-wk18-m21,0,3,5,4
E-wk18-m23,E-wk18-m23,22/09/20,18,H,Y,N,23,E-wk18-m23,0,3,4,4
E-wk18-m24,E-wk18-m24,22/09/20,18,C,N,N,24,E-wk18-m24,0,3,6,4
E-wk18-m25,E-wk18-m25,22/09/20,18,I,N,Y,25,E-wk18-m25,0,3,6,4
E-wk18-m26,E-wk18-m26,22/09/20,18,H,Y,N,26,E-wk18-m26,0,3,5,4
E-wk18-m27,E-wk18-m27,22/09/20,18,H,Y,N,27,E-wk18-m27,0,3,6,4
E-wk18-m3,E-wk18-m3,22/09/20,18,HI,Y,Y,3,E-wk18-m3,0,3,1,4
E-wk18-m4,E-wk18-m4,22/09/20,18,HI,Y,Y,4,E-wk18-m4,0,3,2,4
E-wk18-m5,E-wk18-m5,22/09/20,18,I,N,Y,5,E-wk18-m5,0,3,1,4
E-wk18-m6,E-wk18-m6,22/09/20,18,HI,Y,Y,6,E-wk18-m6,0,3,3,4
E-wk18-m7,E-wk18-m7,22/09/20,18,C,N,N,7,E-wk18-m7,0,3,2,4
E-wk18-m8,E-wk18-m8,22/09/20,18,HI,Y,Y,8,E-wk18-m8,0,3,4,4
E-wk18-m9,E-wk18-m9,22/09/20,18,I,N,Y,9,E-wk18-m9,0,3,2,4
E-wk22-m10,E-wk22-m10,20/10/20,22,HI,Y,Y,10,E-wk22-m10,0,4,5,5
E-wk22-m11,E-wk22-m11,20/10/20,22,HI,Y,Y,11,E-wk22-m11,0,4,6,5
E-wk22-m12,E-wk22-m12,20/10/20,22,I,N,Y,12,E-wk22-m12,0,4,3,5
E-wk22-m13,E-wk22-m13,20/10/20,22,C,N,N,13,E-wk22-m13,0,4,3,5
E-wk22-m14,E-wk22-m14,20/10/20,22,I,N,Y,14,E-wk22-m14,0,4,4,5
E-wk22-m15,E-wk22-m15,20/10/20,22,H,Y,N,15,E-wk22-m15,0,4,1,5
E-wk22-m16,E-wk22-m16,20/10/20,22,H,Y,N,16,E-wk22-m16,0,4,2,5
E-wk22-m17,E-wk22-m17,20/10/20,22,C,N,N,17,E-wk22-m17,0,4,4,5
E-wk22-m19,E-wk22-m19,20/10/20,22,I,N,Y,19,E-wk22-m19,0,4,5,5
E-wk22-m2,E-wk22-m2,20/10/20,22,C,N,N,2,E-wk22-m2,0,4,1,5
E-wk22-m20,E-wk22-m20,20/10/20,22,H,Y,N,20,E-wk22-m20,0,4,3,5
E-wk22-m21,E-wk22-m21,20/10/20,22,C,N,N,21,E-wk22-m21,0,4,5,5
E-wk22-m23,E-wk22-m23,20/10/20,22,H,Y,N,23,E-wk22-m23,0,4,4,5
E-wk22-m24,E-wk22-m24,20/10/20,22,C,N,N,24,E-wk22-m24,0,4,6,5
E-wk22-m25,E-wk22-m25,20/10/20,22,I,N,Y,25,E-wk22-m25,0,4,6,5
E-wk22-m26,E-wk22-m26,20/10/20,22,H,Y,N,26,E-wk22-m26,0,4,5,5
E-wk22-m27,E-wk22-m27,20/10/20,22,H,Y,N,27,E-wk22-m27,0,4,6,5
E-wk22-m3,E-wk22-m3,20/10/20,22,HI,Y,Y,3,E-wk22-m3,0,4,1,5
E-wk22-m4,E-wk22-m4,20/10/20,22,HI,Y,Y,4,E-wk22-m4,0,4,2,5
E-wk22-m5,E-wk22-m5,20/10/20,22,I,N,Y,5,E-wk22-m5,0,4,1,5
E-wk22-m6,E-wk22-m6,20/10/20,22,HI,Y,Y,6,E-wk22-m6,0,4,3,5
E-wk22-m7,E-wk22-m7,20/10/20,22,C,N,N,7,E-wk22-m7,0,4,2,5
E-wk22-m8,E-wk22-m8,20/10/20,22,HI,Y,Y,8,E-wk22-m8,0,4,4,5
E-wk22-m9,E-wk22-m9,20/10/20,22,I,N,Y,9,E-wk22-m9,0,4,2,5
