"","E-wk0-m10","E-wk0-m11","E-wk0-m12","E-wk0-m13","E-wk0-m14","E-wk0-m15","E-wk0-m16","E-wk0-m17","E-wk0-m19","E-wk0-m2","E-wk0-m20","E-wk0-m21","E-wk0-m23","E-wk0-m24","E-wk0-m25","E-wk0-m26","E-wk0-m27","E-wk0-m3","E-wk0-m4","E-wk0-m5","E-wk0-m6","E-wk0-m7","E-wk0-m8","E-wk0-m9","E-wk10-m10","E-wk10-m11","E-wk10-m12","E-wk10-m13","E-wk10-m14","E-wk10-m15","E-wk10-m16","E-wk10-m17","E-wk10-m19","E-wk10-m2","E-wk10-m20","E-wk10-m21","E-wk10-m23","E-wk10-m24","E-wk10-m25","E-wk10-m26","E-wk10-m27","E-wk10-m3","E-wk10-m4","E-wk10-m5","E-wk10-m6","E-wk10-m7","E-wk10-m8","E-wk10-m9","E-wk12-m10","E-wk12-m11","E-wk12-m12","E-wk12-m13","E-wk12-m14","E-wk12-m15","E-wk12-m16","E-wk12-m17","E-wk12-m19","E-wk12-m2","E-wk12-m20","E-wk12-m21","E-wk12-m23","E-wk12-m24","E-wk12-m25","E-wk12-m26","E-wk12-m27","E-wk12-m3","E-wk12-m4","E-wk12-m5","E-wk12-m6","E-wk12-m7","E-wk12-m8","E-wk12-m9","E-wk14-m10","E-wk14-m11","E-wk14-m12","E-wk14-m13","E-wk14-m14","E-wk14-m15","E-wk14-m16","E-wk14-m17","E-wk14-m19","E-wk14-m2","E-wk14-m20","E-wk14-m21","E-wk14-m23","E-wk14-m24","E-wk14-m25","E-wk14-m26","E-wk14-m27","E-wk14-m3","E-wk14-m4","E-wk14-m5","E-wk14-m6","E-wk14-m7","E-wk14-m8","E-wk14-m9","E-wk18-m10","E-wk18-m11","E-wk18-m12","E-wk18-m13","E-wk18-m14","E-wk18-m15","E-wk18-m16","E-wk18-m17","E-wk18-m19","E-wk18-m2","E-wk18-m20","E-wk18-m21","E-wk18-m23","E-wk18-m24","E-wk18-m25","E-wk18-m26","E-wk18-m27","E-wk18-m3","E-wk18-m4","E-wk18-m5","E-wk18-m6","E-wk18-m7","E-wk18-m8","E-wk18-m9","E-wk22-m10","E-wk22-m11","E-wk22-m12","E-wk22-m13","E-wk22-m14","E-wk22-m15","E-wk22-m16","E-wk22-m17","E-wk22-m19","E-wk22-m2","E-wk22-m20","E-wk22-m21","E-wk22-m23","E-wk22-m24","E-wk22-m25","E-wk22-m26","E-wk22-m27","E-wk22-m3","E-wk22-m4","E-wk22-m5","E-wk22-m6","E-wk22-m7","E-wk22-m8","E-wk22-m9"
"ASV11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7004556271551,0,0,4.76411687182081,0,4.59202755510005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.23683452462135,0,0,0,0,7.57364038647451,0,0,0,0,6.08567379803012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.33248211336647,6.96831120943417,0,7.45242048261028,0,8.6738273772825,0,5.59895972850118,5.79195213290139,0,0,0,0,7.79977684889965,0,0,0,0,0,0,0,0,10.1923603619639,0,9.71365517891063,5.65739539233217,0,10.1589626472583,0,8.99533256368483,0,4.84685656538902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.61303657308492,0
"ASV12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.74391220704911,0,0,4.76411687182081,0,4.81937974315336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77559955327887,0,0,0,0,7.64154212343457,0,0,0,0,6.05464998919541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08883505073811,6.70779890161285,0,7.45242048261028,0,8.2884646590028,0,5.35613968043615,5.93438003391065,0,0,0,0,7.72702274506288,0,0,0,0,0,0,0,0,10.1685137573814,0,9.86809254908392,5.71568646591618,0,10.1676144670756,0,9.06239637087321,0,4.93610379807734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9272650879974,0
"ASV13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.60418322099955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.14524821188725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0237992335298,0,4.27409527579096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.72739388323429,0,7.89487984577704,0,0,0
"ASV14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.86293577077953,0,0,0,0,0,0,0,1.41354657052759,7.54727750864699,7.25794275528223,6.98323990056382,7.09261162861148,7.24799683749359,0,0,6.22142719441735,0,3.5091812244985,7.05928909447656,4.50438011460671,6.57662492582175,4.11793221949195,5.79131798946051,5.82316620948115,0,6.33563519649532,0,6.52133042891345,0,7.14854124231164,5.61924033087054,6.92654513004729,6.51352612950459,6.20950096811214,7.14236163529953,6.6985923723715,7.79303490800858,8.46161690079568,0,6.16611506539887,4.05826320932917,0,7.4061173035956,0,7.17977903764867,0,0,6.84202700213652,5.22369365530967,7.28173368884408,0,6.80242616469719,0,7.32918936641202,0,7.28473663024503,5.02326601097036,4.81668739003674,7.31050063108079,5.31131665326688,6.96442343616303,6.7720332179052,0,0,0,0,6.98668781050735,0,5.7675887214953,7.35137353574223,0,0,4.59291528784914,4.21089273923111,6.38024775950975,5.6182698024122,0,7.66794753420727,4.10108508422157,5.18950610018062,4.69731289045179,0,7.17599206387203,7.26206251415154,6.43825307172773,7.66545677164931,4.39301723823723,4.90861580593967,5.50134839534586,0,3.38555896141156,0,5.7875391136786,6.50745246771403,0,2.4269075034976,0,4.49927487372424,0,4.53826843003152,0,7.28159008012158,0,7.28603579443679,4.6846250269301,0,6.5204410813687,6.3576901263805,4.52070919757063,7.48243961351344,0,6.86363510704396,0,5.10085637230529,0,0,7.47049038249077,6.67694629747366,0,8.39306793925542,4.83176517091051,0,4.69723233385746,0,0,0,0,7.51641219408298
"ASV15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.53218988031091,0,0,5.12660808942832,0,5.01573348765649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.90909725660048,0,0,0,0,7.60799070011228,0,1.52228377898894,0,0,5.74057668753469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2315618759442,6.34203154517476,0,7.30513031046474,0,8.10346386340601,0,5.0640117792236,5.80549703808291,0,0,0,0,7.62393262380528,0,0,0,0,0,0,0,0,9.94082316493181,0,9.79869575471224,5.44982954213152,0,9.9019916388379,0,8.8230925946061,0,4.75172217889398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.65169736381167,0
"ASV16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.46105933663766,0,0,4.8218184533627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54653864038182,0,0,2.2367979099294,0,7.22836198755943,0,0,0,0,4.85320471185361,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04180680976717,0,6.18913044055837,6.12288252774164,0,7.00883365299445,0,8.06820362648938,0,5.59895972850118,6.25380855053189,0,0,0,0,7.52010046129579,0,0,0,0,0,0,0,0,10.0313957365334,0,9.78498672479419,5.22747389149044,0,10.0063577395853,0,8.75393161573938,0,4.87722323343545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96847882325931,0
"ASV17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.34732166035941,0,0,4.98224723518436,0,4.23458799174032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.86094258026514,0,0,0,0,7.55027721992247,0,0,0,0,6.07024528425909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18913044055837,6.78816731897505,0,7.14633036928304,0,8.4154816813222,0,5.47159878765129,5.97090196765515,0,0,0,0,7.37684889503005,0,0,0,0,0,0,0,0,9.87043432765362,0,9.71821823039026,5.16608453762849,0,9.79228266381121,0,8.82063488748754,0,5.17484260744289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.19372660410087,0
"ASV18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999713550496802,7.43717184076599,7.23276530156378,7.24196165481489,6.96137382458018,7.15628483259621,0,0,5.84003719946631,0,0,0,4.3345082183968,6.66625605172449,5.61507316069824,5.91683436071758,5.9020125702043,0,6.39976034237874,0,6.23994010553008,0,7.45665046631309,0,6.45450737309772,6.44356881623523,6.2626075944153,6.99036612653302,6.55007991530201,7.29194451667819,8.65261073371008,0,5.91616221869757,0,0,7.30990590950801,0,7.43280135106801,0,0,7.04132496386288,5.24444852882368,7.39178268235052,0,6.49634345837076,0,6.98054128388534,4.63478985451679,7.42785573115868,0,5.31254534011319,7.49782451113281,5.39876520857509,7.23827152080618,0,0,4.64873836030773,0,0,7.20751898743043,0,5.6363610467512,5.91851451840529,0,0,4.76974694475896,2.70934651082246,5.99326025706226,4.97201771281177,0,7.44556301627845,4.35625102387996,5.79208036565709,4.35637508207428,0,6.94941099570178,7.08858772120025,6.33969710034424,7.53845586630713,4.32890776158746,0,0,0,5.08535981843156,0,5.8944418471374,6.7067475985292,0,2.4269075034976,0,4.41183867957042,0,4.3038764074301,0,7.12289954136484,0,7.27153684890293,4.19934817301191,4.98192964515289,6.36737351052732,5.92163251429715,0,7.39628628837032,4.01791406742774,6.93345264423685,0,4.49693115665717,5.75276326425563,0,7.43457217905724,6.99242960962599,0,8.18566241785794,4.76139277336115,4.32444975148452,4.49375525636086,0,0,6.30036955433909,0,7.07969824508876
"ASV19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14802928003303,0,0,0,0,0,0,0,0,3.11147985136195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35062082215995,0,0,0,0,0,0,0,0,5.22323521678102,4.83497363649541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44859016681095,0,0,0,0,0,0,6.08965223197857,8.26558008986429,5.51778682620096,0,0,0,0,0,10.8157907135764,0,0,0,0,0,0,0,0,9.4756820630646,0,0,5.33911003274785,0,9.20034158324334,0,7.51067375543386,3.2500619030399,7.06468159056194,5.43297816307819,0,0,0,0,6.20017454818234,0,4.7099921672537,0,0,0,0,8.15689215821456,5.09307179796389,5.40174678875085,0,2.8752970667626,10.6140636532453,0
"ASV20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82005507749837,0,1.61673418646038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.14524821188725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8573850524125,0,0,0,4.32554700956054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.67415228965409,0,7.76822159984982,0,0,0
