Sample.date,sampling.week,sampling.week.end,treatment,Heated,Invasion,Mesocosm,rep,A_TotalAlgae,A_Green,A_Cyanobacteria,A_Chromophytes,A_Cryptophytes
29/12/20,32,33,C,N,N,7,2,1.15,0.24,0.73,0.17,0
29/12/20,32,33,C,N,N,13,3,1.18,0,0.69,0.5,0
29/12/20,32,33,C,N,N,17,4,44.24,44.24,0,0,0
29/12/20,32,33,C,N,N,21,5,0.54,0,0.54,0,0
29/12/20,32,33,C,N,N,24,6,0.71,0,0.71,0,0
5/01/21,33,34,C,N,N,2,1,17.5,0,16.08,1.4,0.023333333
5/01/21,33,34,C,N,N,7,2,2.46,1.81,0.58,0.04,0.026666667
5/01/21,33,34,C,N,N,13,3,1.22,0.25,0.55,0.34,0.086666667
5/01/21,33,34,C,N,N,17,4,64.7,64.7,0,0,0
5/01/21,33,34,C,N,N,21,5,0.55,0,0.55,0,0
5/01/21,33,34,C,N,N,24,6,0.53,0,0.53,0,0
12/01/21,34,35,C,N,N,2,1,12.06,0,11.24,0.53,0.293333333
12/01/21,34,35,C,N,N,7,2,4.73,4.27,0.38,0.09,0
12/01/21,34,35,C,N,N,13,3,1.74,0.75,0.53,0.38,0.093333333
12/01/21,34,35,C,N,N,17,4,80.25,80.25,0,0,0
12/01/21,34,35,C,N,N,21,5,0.46,0,0.46,0,0
12/01/21,34,35,C,N,N,24,6,0.37,0,0.37,0,0
26/01/21,36,37,C,N,N,2,1,6.01,0,5.83,0,0.17
26/01/21,36,37,C,N,N,7,2,5.54,5.35,0.19,0,0
26/01/21,36,37,C,N,N,13,3,0.45,0,0.25,0.12,0.073333333
26/01/21,36,37,C,N,N,17,4,114.11,114.11,0,0,0
26/01/21,36,37,C,N,N,21,5,0.35,0,0.32,0.01,0.023333333
26/01/21,36,37,C,N,N,24,6,0.44,0,0.31,0.1,0.026666667
23/02/21,40,41,C,N,N,2,1,2.81,1.23,1.34,0.25,0
23/02/21,40,41,C,N,N,7,2,0.8,0.23,0.38,0.18,0
23/02/21,40,41,C,N,N,13,3,1.52,0.76,0.31,0.45,0
23/02/21,40,41,C,N,N,17,4,65.3,65.3,0,0,0
23/02/21,40,41,C,N,N,21,5,0.65,0.22,0.31,0.12,0
23/02/21,40,41,C,N,N,24,6,1.95,1.13,0.2,0.6,0.02
2/03/21,41,42,C,N,N,2,1,14.07,10.57,2.59,0.92,0
2/03/21,41,42,C,N,N,7,2,7.25,4.2,2.13,0.78,0.126666667
2/03/21,41,42,C,N,N,13,3,3.4,2.82,0.14,0.23,0.206666667
2/03/21,41,42,C,N,N,17,4,84.38,84.38,0,0,0
2/03/21,41,42,C,N,N,21,5,1.71,1.05,0.46,0.2,0
2/03/21,41,42,C,N,N,24,6,5.84,4.99,0.24,0.47,0.133333333
10/03/21,42,43,C,N,N,2,1,4.27,2.95,0.98,0.33,0
10/03/21,42,43,C,N,N,7,2,2.76,2.13,0.36,0.27,0
10/03/21,42,43,C,N,N,13,3,2.22,1.94,0,0.16,0.116666667
10/03/21,42,43,C,N,N,17,4,89.78,89.78,0,0,0
10/03/21,42,43,C,N,N,21,5,0.18,0,0.18,0,0
10/03/21,42,43,C,N,N,24,6,4.63,3.78,0,0.74,0.103333333
16/03/21,43,44,C,N,N,2,1,5.29,3.42,0.97,0.9,0
16/03/21,43,44,C,N,N,7,2,1.94,0.88,0.33,0.73,0
16/03/21,43,44,C,N,N,13,3,4.94,4.37,0,0.57,0
16/03/21,43,44,C,N,N,17,4,84.87,84.87,0,0,0
16/03/21,43,44,C,N,N,21,5,0.21,0.04,0.16,0.01,0
16/03/21,43,44,C,N,N,24,6,7.68,6.02,0,1.65,0
